,Assay,Uniprot ID
Olink Target 96 Cardiometabolic(v.3603),PRCP,P42785
Olink Target 96 Cardiometabolic(v.3603).1,CA1,P00915
Olink Target 96 Cardiometabolic(v.3603).2,ICAM1,P05362
Olink Target 96 Cardiometabolic(v.3603).3,CHL1,O00533
Olink Target 96 Cardiometabolic(v.3603).4,TGFBI,Q15582
Olink Target 96 Cardiometabolic(v.3603).5,ENG,P17813
Olink Target 96 Cardiometabolic(v.3603).6,PLTP,P55058
Olink Target 96 Cardiometabolic(v.3603).7,SERPINA7,P05543
Olink Target 96 Cardiometabolic(v.3603).8,IGFBP3,P17936
Olink Target 96 Cardiometabolic(v.3603).9,CR2,P20023
Olink Target 96 Cardiometabolic(v.3603).10,SERPINA5,P05154
Olink Target 96 Cardiometabolic(v.3603).11,FCGR3B,O75015
Olink Target 96 Cardiometabolic(v.3603).12,IGFBP6,P24592
Olink Target 96 Cardiometabolic(v.3603).13,CDH1,P12830
Olink Target 96 Cardiometabolic(v.3603).14,CCL5,P13501
Olink Target 96 Cardiometabolic(v.3603).15,CCL14,Q16627
Olink Target 96 Cardiometabolic(v.3603).16,GNLY,P22749
Olink Target 96 Cardiometabolic(v.3603).17,NOTCH1,P46531
Olink Target 96 Cardiometabolic(v.3603).18,PAM,P19021
Olink Target 96 Cardiometabolic(v.3603).19,PROC,P04070
Olink Target 96 Cardiometabolic(v.3603).20,CST3,P01034
Olink Target 96 Cardiometabolic(v.3603).21,NCAM1,P13591
Olink Target 96 Cardiometabolic(v.3603).22,PCOLCE,Q15113
Olink Target 96 Cardiometabolic(v.3603).23,LILRB1,Q8NHL6
Olink Target 96 Cardiometabolic(v.3603).24,MET,P08581
Olink Target 96 Cardiometabolic(v.3603).25,LTBP2,Q14767
Olink Target 96 Cardiometabolic(v.3603).26,IL7R,P16871
Olink Target 96 Cardiometabolic(v.3603).27,VCAM1,P19320
Olink Target 96 Cardiometabolic(v.3603).28,SELL,P14151
Olink Target 96 Cardiometabolic(v.3603).29,F11,P03951
Olink Target 96 Cardiometabolic(v.3603).30,COMP,P49747
Olink Target 96 Cardiometabolic(v.3603).31,CA4,P22748
Olink Target 96 Cardiometabolic(v.3603).32,PTPRS,Q13332
Olink Target 96 Cardiometabolic(v.3603).33,MBL2,P11226
Olink Target 96 Cardiometabolic(v.3603).34,TIMP1,P01033
Olink Target 96 Cardiometabolic(v.3603).35,ANGPTL3,Q9Y5C1
Olink Target 96 Cardiometabolic(v.3603).36,REG3A,Q06141
Olink Target 96 Cardiometabolic(v.3603).37,SOD1,P00441
Olink Target 96 Cardiometabolic(v.3603).38,CD46,P15529
Olink Target 96 Cardiometabolic(v.3603).39,ITGAM,P11215
Olink Target 96 Cardiometabolic(v.3603).40,TNC,P24821
Olink Target 96 Cardiometabolic(v.3603).41,NID1,P14543
Olink Target 96 Cardiometabolic(v.3603).42,CFHR5,Q9BXR6
Olink Target 96 Cardiometabolic(v.3603).43,SPARCL1,Q14515
Olink Target 96 Cardiometabolic(v.3603).44,PLXNB2,O15031
Olink Target 96 Cardiometabolic(v.3603).45,MEGF9,Q9H1U4
Olink Target 96 Cardiometabolic(v.3603).46,ANG,P03950
Olink Target 96 Cardiometabolic(v.3603).47,ST6GAL1,P15907
Olink Target 96 Cardiometabolic(v.3603).48,DPP4,P27487
Olink Target 96 Cardiometabolic(v.3603).49,REG1A,P05451
Olink Target 96 Cardiometabolic(v.3603).50,QPCT,Q16769
Olink Target 96 Cardiometabolic(v.3603).51,FCN2,Q15485
Olink Target 96 Cardiometabolic(v.3603).52,FETUB,Q9UGM5
Olink Target 96 Cardiometabolic(v.3603).53,CES1,P23141
Olink Target 96 Cardiometabolic(v.3603).54,CRTAC1,Q9NQ79
Olink Target 96 Cardiometabolic(v.3603).55,TCN2,P20062
Olink Target 96 Cardiometabolic(v.3603).56,PRSS2,P07478
Olink Target 96 Cardiometabolic(v.3603).57,ICAM3,P32942
Olink Target 96 Cardiometabolic(v.3603).58,SAA4,P35542
Olink Target 96 Cardiometabolic(v.3603).59,CNDP1,Q96KN2
Olink Target 96 Cardiometabolic(v.3603).60,FCGR2A,P12318
Olink Target 96 Cardiometabolic(v.3603).61,NRP1,O14786
Olink Target 96 Cardiometabolic(v.3603).62,EFEMP1,Q12805
Olink Target 96 Cardiometabolic(v.3603).63,TIMD4,Q96H15
Olink Target 96 Cardiometabolic(v.3603).64,FAP,Q12884
Olink Target 96 Cardiometabolic(v.3603).65,TIE1,P35590
Olink Target 96 Cardiometabolic(v.3603).66,THBS4,P35443
Olink Target 96 Cardiometabolic(v.3603).67,F7,P08709
Olink Target 96 Cardiometabolic(v.3603).68,GP1BA,P07359
Olink Target 96 Cardiometabolic(v.3603).69,LYVE1,Q9Y5Y7
Olink Target 96 Cardiometabolic(v.3603).70,CA3,P07451
Olink Target 96 Cardiometabolic(v.3603).71,TGFBR3,Q03167
Olink Target 96 Cardiometabolic(v.3603).72,DEFA1,P59665
Olink Target 96 Cardiometabolic(v.3603).73,CD59,P13987
Olink Target 96 Cardiometabolic(v.3603).74,APOM,O95445
Olink Target 96 Cardiometabolic(v.3603).75,OSMR,Q99650
Olink Target 96 Cardiometabolic(v.3603).76,LILRB2,Q8N423
Olink Target 96 Cardiometabolic(v.3603).77,UMOD,P07911
Olink Target 96 Cardiometabolic(v.3603).78,CCL18,P55774
Olink Target 96 Cardiometabolic(v.3603).79,COL18A1,P39060
Olink Target 96 Cardiometabolic(v.3603).80,LCN2,P80188
Olink Target 96 Cardiometabolic(v.3603).81,KIT,P10721
Olink Target 96 Cardiometabolic(v.3603).82,C1QTNF1,Q9BXJ1
Olink Target 96 Cardiometabolic(v.3603).83,AOC3,Q16853
Olink Target 96 Cardiometabolic(v.3603).84,GAS6,Q14393
Olink Target 96 Cardiometabolic(v.3603).85,IGLC2,P0DOY2
Olink Target 96 Cardiometabolic(v.3603).86,PLA2G7,Q13093
Olink Target 96 Cardiometabolic(v.3603).87,TNXB,P22105
Olink Target 96 Cardiometabolic(v.3603).88,MFAP5,Q13361
Olink Target 96 Cardiometabolic(v.3603).89,VASN,Q6EMK4
